Date,Product,Region,Sales,Profit,Quantity
2022-08-19,Product E,South,592.0,160.0,7
2023-10-17,Product A,North,588.0,155.0,2
2022-06-20,Product D,South,453.0,94.0,8
2023-06-25,Product D,North,548.0,132.0,8
2022-02-05,Product E,North,312.0,,1
2023-06-09,Product C,East,638.0,123.0,8
2022-06-09,Product A,West,472.0,124.0,2
2023-11-30,Product C,South,421.0,80.0,6
2022-08-31,,South,657.0,112.0,1
2022-03-27,Product C,East,394.0,78.0,5
2023-08-01,Product D,East,288.0,76.0,7
2023-11-13,Product A,,266.0,,1
2023-07-11,Product C,,590.0,79.0,2
2023-07-28,Product A,Central,307.0,74.0,7
2023-10-08,Product A,Central,,202.0,6
2022-01-28,Product B,North,187.0,22.0,3
2023-09-12,Product B,South,754.0,111.0,2
2023-07-10,Product D,West,531.0,68.0,4
2022-12-06,Product E,North,485.0,82.0,3
2022-11-27,Product A,South,418.0,79.0,7
2023-10-02,Product E,South,559.0,139.0,8
2023-05-21,Product D,East,494.0,113.0,2
2022-12-14,Product A,East,665.0,149.0,7
2023-04-18,Product A,,517.0,88.0,8
2022-08-19,Product E,East,522.0,140.0,6
2022-07-09,Product C,South,445.0,86.0,6
2022-08-13,Product B,East,,145.0,1
2023-01-20,Product C,,546.0,123.0,4
2023-01-12,Product E,East,243.0,30.0,1
2022-10-10,Product B,South,297.0,,4
2023-09-25,Product C,North,611.0,100.0,2
2023-09-20,Product B,West,,124.0,5
2022-09-16,Product A,East,472.0,53.0,9
2022-12-25,Product C,South,502.0,67.0,3
2023-12-11,Product B,West,552.0,149.0,8
2023-04-01,Product B,West,419.0,60.0,3
2023-02-15,Product B,Central,383.0,102.0,6
2023-10-11,Product C,West,,82.0,4
2022-11-14,Product D,South,353.0,80.0,8
2023-11-08,Product C,South,561.0,133.0,6
2022-08-13,Product E,East,,49.0,8
2022-08-22,Product C,East,654.0,105.0,1
2023-11-15,Product B,East,570.0,81.0,6
2023-10-26,,West,538.0,57.0,1
2023-01-09,Product C,West,647.0,104.0,1
2023-11-03,Product C,Central,,172.0,8
2023-08-31,Product B,East,652.0,187.0,7
2023-04-17,Product A,North,223.0,61.0,3
2022-08-21,Product A,Central,308.0,77.0,6
2023-11-23,Product E,North,406.0,104.0,9
2022-04-23,Product C,West,503.0,117.0,7
2023-05-12,Product A,Central,577.0,87.0,3
2023-03-18,Product A,Central,391.0,110.0,6
2023-07-18,Product D,South,528.0,123.0,4
2022-09-25,Product D,West,386.0,81.0,3
2023-05-25,Product A,West,408.0,49.0,9
2023-01-21,Product E,Central,289.0,54.0,2
2023-01-22,Product A,West,361.0,69.0,1
2022-04-23,Product B,Central,297.0,81.0,2
2023-09-05,Product C,South,353.0,73.0,7
2023-09-17,Product E,Central,658.0,115.0,1
2022-03-22,Product B,West,357.0,105.0,6
2023-11-30,Product E,West,894.0,109.0,7
2022-04-23,Product B,Central,573.0,105.0,9
2022-01-02,Product C,Central,527.0,57.0,8
2023-10-04,Product C,Central,371.0,92.0,6
2022-08-08,Product D,East,605.0,171.0,3
2023-07-20,Product B,West,413.0,64.0,8
2022-08-13,Product D,West,518.0,140.0,7
2023-01-20,Product B,East,884.0,140.0,3
2023-02-07,Product D,Central,485.0,136.0,9
2023-09-30,Product C,South,672.0,168.0,2
2022-05-10,Product E,Central,394.0,102.0,3
2022-02-22,Product D,Central,494.0,51.0,2
2023-11-15,Product B,East,765.0,223.0,1
2023-11-03,,West,405.0,99.0,4
2023-12-11,Product C,Central,771.0,124.0,5
2023-02-20,Product B,West,606.0,161.0,6
2022-09-04,Product A,North,415.0,64.0,5
2023-03-15,Product E,West,594.0,163.0,1
2022-07-22,,South,645.0,79.0,3
2022-07-03,Product E,South,593.0,142.0,1
2022-05-03,Product C,Central,264.0,54.0,5
2023-02-05,Product D,West,390.0,46.0,5
2022-10-21,Product D,Central,462.0,68.0,6
2022-10-07,Product A,East,488.0,50.0,8
2023-09-02,Product C,South,593.0,114.0,1
2022-07-17,Product B,Central,526.0,84.0,4
2023-05-26,Product A,East,299.0,65.0,1
2022-05-24,Product A,Central,557.0,88.0,9
2023-09-01,Product E,West,591.0,94.0,7
2022-07-20,Product E,West,583.0,,7
2022-05-04,Product E,West,662.0,72.0,5
2022-07-06,Product A,West,,175.0,7
2022-11-22,Product B,North,568.0,153.0,2
2023-04-09,Product D,East,,114.0,4
2022-12-15,Product E,East,250.0,54.0,7
2023-10-22,Product B,West,564.0,157.0,3
2023-02-07,Product C,North,531.0,72.0,2
2022-12-12,Product E,West,540.0,62.0,2
2023-05-26,Product D,North,308.0,45.0,1
2022-05-27,Product C,West,337.0,87.0,5
2022-05-28,Product C,South,657.0,70.0,6
2023-12-12,Product D,South,494.0,106.0,6
2023-05-04,Product E,,602.0,180.0,9
2023-10-02,Product A,West,504.0,136.0,4
2023-07-05,Product D,East,504.0,102.0,1
2022-12-04,Product D,Central,640.0,72.0,6
2023-10-03,Product D,South,422.0,112.0,5
2023-04-18,Product C,West,514.0,112.0,6
2022-05-31,Product B,Central,430.0,52.0,3
2023-02-19,Product A,West,434.0,51.0,2
2022-10-25,Product E,South,453.0,127.0,6
2023-09-03,Product E,Central,533.0,124.0,1
2022-09-20,Product B,South,428.0,113.0,7
2022-05-24,Product D,,688.0,189.0,7
2022-12-12,Product A,South,365.0,78.0,7
2023-09-16,Product E,West,471.0,95.0,1
2023-07-26,Product E,East,434.0,80.0,4
2022-01-02,Product D,South,717.0,117.0,7
2022-10-31,Product B,East,529.0,98.0,9
2022-09-11,Product A,North,654.0,166.0,5
2023-10-14,Product B,Central,277.0,61.0,2
2023-03-29,Product B,Central,540.0,150.0,7
2022-02-06,Product A,East,633.0,119.0,1
2022-06-09,Product A,Central,512.0,113.0,7
2022-01-09,Product E,South,659.0,149.0,6
2022-08-21,Product E,East,422.0,92.0,7
2022-04-09,Product A,West,711.0,171.0,3
2023-10-21,Product C,South,844.0,124.0,3
2022-07-27,Product E,South,445.0,90.0,7
2022-05-11,Product C,South,433.0,52.0,2
2023-02-08,Product A,West,718.0,127.0,1
2022-06-01,Product E,North,736.0,145.0,9
2022-02-23,Product B,Central,421.0,97.0,9
2022-04-30,Product A,East,436.0,126.0,7
2023-11-04,Product D,North,457.0,100.0,7
2023-09-20,Product C,East,298.0,74.0,3
2023-08-10,Product A,Central,,72.0,2
2023-09-17,Product A,West,349.0,79.0,7
2023-02-24,Product E,South,384.0,43.0,9
2023-02-26,Product E,South,494.0,74.0,1
2022-04-14,Product E,West,535.0,92.0,4
2022-09-11,Product D,,732.0,142.0,6
2022-08-15,Product E,North,350.0,38.0,7
2022-04-22,Product A,East,647.0,82.0,7
2023-05-25,Product E,West,467.0,72.0,2
2023-04-18,Product B,North,492.0,144.0,4
2022-04-09,Product E,West,601.0,99.0,5
2022-06-02,Product D,Central,331.0,65.0,1
2022-12-04,Product B,South,557.0,77.0,1
2023-12-07,Product A,South,524.0,116.0,3
2022-06-12,Product A,South,573.0,89.0,3
2023-12-21,Product C,West,543.0,76.0,8
2023-11-12,Product B,West,868.0,176.0,9
2022-06-10,Product C,East,404.0,40.0,1
2023-08-03,Product B,South,420.0,42.0,2
2023-02-02,Product B,East,,,2
2022-10-04,Product D,South,416.0,44.0,4
2023-05-19,Product C,East,404.0,49.0,2
2023-01-27,,East,678.0,113.0,7
2022-05-15,Product B,Central,713.0,185.0,9
2022-07-14,Product A,East,414.0,88.0,7
2023-02-05,Product B,West,375.0,75.0,6
2023-10-02,Product D,East,,90.0,1
2022-02-02,Product C,South,417.0,,9
2023-11-19,Product C,East,594.0,106.0,5
2023-04-05,Product D,North,,62.0,5
2023-04-15,Product C,South,272.0,60.0,6
2023-01-10,Product E,North,732.0,89.0,9
2022-01-22,Product A,South,769.0,129.0,8
2023-11-01,Product A,West,408.0,82.0,8
2022-02-07,Product A,West,441.0,121.0,8
2022-08-18,,West,542.0,107.0,1
2022-12-31,Product C,,550.0,132.0,1
2023-07-17,Product B,Central,598.0,178.0,8
2023-03-14,Product B,South,801.0,101.0,5
2022-10-10,Product A,,473.0,73.0,9
2022-01-27,Product E,South,380.0,67.0,2
2022-08-14,Product B,North,293.0,54.0,9
2022-10-04,Product B,Central,390.0,71.0,8
2023-09-01,Product C,North,495.0,139.0,9
2022-10-11,Product E,South,769.0,186.0,4
2023-04-26,Product A,Central,422.0,93.0,1
2023-03-29,Product B,Central,533.0,86.0,1
2023-10-21,Product E,North,,131.0,5
2023-05-31,Product E,West,678.0,197.0,2
2023-07-01,Product A,South,879.0,232.0,8
2022-07-11,Product E,East,420.0,42.0,5
2022-02-18,Product E,East,426.0,96.0,5
2023-05-27,Product E,North,656.0,72.0,2
2022-01-17,Product B,South,602.0,91.0,7
2022-06-21,Product A,South,,86.0,8
2022-08-08,,North,587.0,129.0,1
2022-06-07,Product E,South,446.0,105.0,2
2023-04-22,Product B,West,588.0,72.0,4
2022-02-15,Product A,North,666.0,117.0,5
2023-01-08,Product C,West,623.0,119.0,2
2023-06-02,Product B,South,576.0,100.0,1
2022-04-09,Product A,North,660.0,81.0,9
2022-02-06,Product E,South,675.0,124.0,1
2022-10-07,Product A,North,707.0,176.0,4
2022-12-15,Product A,South,,68.0,2
2023-05-12,Product A,West,474.0,55.0,4
2022-10-29,Product C,West,522.0,89.0,8
2022-06-30,Product A,South,680.0,196.0,8
2023-08-30,Product C,North,377.0,88.0,9
2022-04-09,Product E,East,555.0,130.0,5
2023-12-01,Product C,West,440.0,75.0,7
2022-04-26,Product E,West,504.0,,3
2022-07-10,Product E,East,691.0,70.0,4
2022-09-10,Product C,South,528.0,119.0,9
2022-06-10,Product B,North,506.0,143.0,1
2022-09-13,Product D,South,296.0,65.0,2
2022-11-19,Product A,Central,611.0,167.0,5
2022-05-08,Product D,West,596.0,145.0,3
2022-01-18,Product A,Central,824.0,102.0,2
2023-07-20,Product A,,453.0,127.0,1
2023-07-24,Product E,West,532.0,,3
2022-11-19,Product A,Central,537.0,111.0,1
2023-11-17,Product A,Central,736.0,94.0,1
2023-09-18,Product C,South,485.0,49.0,1
2022-10-15,Product D,Central,541.0,99.0,8
2023-10-25,Product C,South,591.0,93.0,3
2023-10-01,Product A,South,527.0,103.0,1
2022-06-04,Product E,South,433.0,93.0,7
2023-05-05,Product C,West,529.0,57.0,3
2023-01-21,Product C,West,661.0,82.0,8
2022-04-14,Product B,Central,346.0,73.0,4
2023-01-28,Product A,West,519.0,87.0,4
2022-09-03,Product E,Central,394.0,96.0,5
2022-06-25,,West,679.0,156.0,6
2022-02-08,Product C,North,271.0,72.0,7
2023-04-22,Product E,North,416.0,99.0,4
2023-11-13,Product A,Central,556.0,103.0,8
2023-06-22,Product B,West,734.0,172.0,6
2023-02-12,Product C,West,490.0,75.0,1
2023-06-09,Product B,South,416.0,67.0,1
2023-05-21,Product D,East,782.0,201.0,9
2022-02-05,Product A,Central,282.0,53.0,6
2023-11-16,Product D,East,170.0,44.0,8
2022-01-20,Product D,East,566.0,149.0,7
2022-11-17,Product D,Central,424.0,115.0,6
2023-05-27,Product A,West,346.0,98.0,4
2023-02-04,,Central,606.0,,7
2023-10-16,Product E,,536.0,87.0,9
2023-04-16,Product B,West,415.0,89.0,7
2022-05-23,Product B,North,307.0,53.0,1
2022-04-02,Product E,Central,630.0,138.0,9
2022-12-20,Product E,,597.0,143.0,4
2023-12-28,Product D,West,485.0,,3
2022-02-20,Product E,North,776.0,135.0,4
2023-10-27,Product C,North,339.0,45.0,4
2023-11-29,Product B,West,271.0,50.0,2
2023-07-29,Product E,South,396.0,50.0,1
2022-07-09,Product C,Central,493.0,137.0,1
2022-05-05,Product C,Central,536.0,90.0,8
2022-05-30,Product C,East,463.0,60.0,2
2022-11-10,Product C,West,552.0,,5
2023-07-24,Product D,East,312.0,71.0,4
2022-12-08,Product C,East,716.0,162.0,8
2022-11-01,Product D,North,487.0,81.0,2
2023-11-23,,Central,667.0,76.0,9
2023-11-13,Product C,East,551.0,100.0,7
2022-02-23,Product B,North,568.0,92.0,7
2023-03-20,Product C,West,585.0,137.0,1
2023-09-05,Product C,East,567.0,125.0,2
2022-09-21,Product C,Central,596.0,103.0,4
2022-02-22,Product B,East,699.0,100.0,4
2023-07-26,Product A,West,529.0,157.0,3
2023-09-12,Product A,East,606.0,115.0,7
2022-01-05,Product D,Central,486.0,115.0,8
2022-04-13,Product D,North,716.0,91.0,2
2022-07-15,Product B,Central,398.0,78.0,4
2022-12-16,,North,770.0,81.0,3
2022-02-16,Product A,South,,99.0,2
2023-10-18,Product D,Central,285.0,83.0,6
2022-09-26,Product A,Central,519.0,91.0,4
2023-01-05,Product B,West,397.0,42.0,6
2023-09-28,Product B,East,626.0,66.0,2
2022-04-16,Product E,North,402.0,71.0,4
2023-11-01,Product E,North,433.0,57.0,6
2023-10-21,Product B,,,22.0,5
2023-10-19,Product D,West,432.0,108.0,3
2022-04-30,Product A,East,136.0,26.0,8
2023-08-27,Product C,,262.0,41.0,7
2022-02-27,Product E,Central,614.0,171.0,3
2022-12-12,Product C,South,617.0,76.0,6
2023-04-19,Product D,East,563.0,163.0,4
2022-04-27,Product E,West,354.0,57.0,5
2022-05-07,Product C,East,492.0,136.0,5
2023-01-28,Product D,North,499.0,110.0,7
2023-10-03,Product A,South,326.0,86.0,5
2022-02-27,Product D,Central,725.0,215.0,3
2023-09-26,Product E,North,631.0,,5
2023-05-28,Product B,North,466.0,136.0,7
2022-04-06,Product A,South,504.0,89.0,5
2023-09-30,Product C,Central,531.0,94.0,5
2022-04-28,Product E,West,193.0,32.0,9
2023-07-14,Product B,Central,462.0,96.0,3
2023-08-24,Product D,East,,51.0,6
2023-05-03,Product B,North,349.0,73.0,1
2022-08-25,Product E,East,457.0,95.0,5
2022-09-29,Product E,West,,194.0,8
2022-07-08,Product B,East,596.0,158.0,5
2023-12-05,Product D,Central,414.0,77.0,9
2023-03-23,Product B,East,585.0,93.0,6
2023-08-04,Product E,West,709.0,107.0,8
2022-09-04,Product E,West,638.0,88.0,8
2022-03-17,Product C,West,508.0,56.0,3
2022-06-03,Product C,Central,,67.0,7
2023-10-18,Product A,West,604.0,93.0,7
2023-03-11,Product E,,559.0,163.0,6
2022-03-27,Product C,West,634.0,134.0,7
2023-11-28,Product B,East,595.0,100.0,2
2022-10-12,,East,657.0,141.0,9
2022-08-08,Product B,East,419.0,53.0,1
2022-03-10,Product D,Central,697.0,131.0,1
2022-02-16,Product C,East,529.0,119.0,3
2022-04-04,Product A,Central,811.0,160.0,3
2023-03-29,Product B,Central,396.0,71.0,1
2022-07-23,Product B,West,760.0,227.0,7
2022-08-06,Product B,North,529.0,146.0,4
2023-04-19,Product D,West,402.0,90.0,2
2023-03-08,Product C,West,427.0,91.0,5
2022-12-07,Product B,Central,451.0,101.0,6
2023-07-05,Product B,Central,563.0,78.0,9
2023-09-04,Product A,East,578.0,103.0,4
2022-10-16,Product A,East,413.0,44.0,2
2022-09-11,Product C,West,,96.0,5
2022-12-23,Product C,South,821.0,171.0,3
2022-01-23,Product E,South,759.0,110.0,2
2023-06-06,Product A,East,565.0,165.0,1
2022-04-10,Product E,South,505.0,142.0,2
2022-06-29,Product D,East,518.0,126.0,6
2022-08-11,Product E,Central,592.0,122.0,8
2023-10-21,Product B,West,346.0,94.0,3
2023-03-18,,North,461.0,58.0,9
2023-08-31,Product C,West,249.0,64.0,9
2022-11-21,,East,559.0,69.0,2
2023-05-31,Product B,East,597.0,154.0,8
2022-01-16,Product E,West,427.0,66.0,5
2022-12-02,Product D,East,736.0,202.0,4
2022-09-15,Product D,South,316.0,91.0,5
2023-05-12,Product B,South,280.0,36.0,4
2022-06-09,Product E,East,533.0,,8
2023-04-20,Product D,East,657.0,194.0,4
2023-10-26,Product D,South,752.0,147.0,6
2023-11-21,Product A,East,431.0,117.0,2
2023-11-06,,East,661.0,143.0,5
2023-01-15,Product A,West,,86.0,6
2023-06-29,Product E,North,474.0,74.0,5
2023-11-22,Product E,South,632.0,88.0,2
2023-03-03,Product E,West,597.0,,7
2023-09-05,Product C,North,263.0,46.0,4
2022-09-25,Product E,East,721.0,145.0,8
2023-07-31,Product D,East,707.0,140.0,7
2023-02-21,Product B,West,406.0,87.0,7
2022-06-17,Product A,East,,152.0,9
2022-02-12,Product C,Central,574.0,169.0,1
2023-07-10,Product E,West,539.0,97.0,6
2022-10-12,Product E,North,417.0,110.0,6
2023-02-01,Product B,West,399.0,100.0,6
2022-01-12,Product B,South,496.0,106.0,6
2023-08-30,,West,675.0,,7
2022-10-29,Product A,East,,81.0,6
2022-09-10,Product E,East,444.0,54.0,1
2023-05-14,Product C,Central,615.0,166.0,3
2022-02-04,,,72.0,13.0,2
2023-12-28,Product D,Central,672.0,181.0,6
2022-03-31,Product C,North,239.0,66.0,8
2023-08-28,Product E,Central,445.0,50.0,3
2023-08-25,Product C,North,332.0,91.0,8
2023-02-22,Product E,Central,305.0,57.0,8
2022-04-25,Product B,North,674.0,136.0,5
2023-09-09,Product C,West,429.0,96.0,8
2022-07-15,Product E,West,551.0,157.0,6
2023-05-16,Product C,East,492.0,51.0,5
2023-09-18,Product C,North,571.0,111.0,9
2023-05-08,Product E,South,511.0,121.0,7
2022-03-16,Product E,East,307.0,75.0,8
2023-02-17,Product A,West,649.0,154.0,1
2023-01-11,Product C,North,425.0,53.0,2
2023-02-24,Product D,Central,266.0,42.0,8
2023-12-30,Product C,South,435.0,,9
2022-10-04,Product C,West,725.0,189.0,4
2023-11-07,Product E,,627.0,97.0,9
2023-01-29,Product C,North,447.0,63.0,4
2023-04-02,Product C,South,447.0,130.0,9
2022-07-11,Product D,North,451.0,,7
2023-11-20,Product E,Central,811.0,242.0,2
2022-04-09,Product C,East,557.0,131.0,9
2023-07-02,Product B,North,564.0,149.0,4
2022-04-06,Product A,West,654.0,103.0,8
2023-10-26,Product D,East,535.0,55.0,7
2023-10-25,Product C,,461.0,114.0,7
2022-07-09,Product B,North,470.0,125.0,8
2022-02-06,Product C,East,489.0,121.0,1
2023-01-04,Product C,West,494.0,63.0,5
2023-11-26,Product E,Central,609.0,152.0,2
2023-06-09,Product E,Central,507.0,128.0,2
2022-10-06,Product E,North,609.0,141.0,1
2022-08-05,Product B,East,487.0,123.0,5
2022-09-30,Product C,South,511.0,137.0,2
2022-03-03,Product A,East,200.0,44.0,4
2023-08-19,Product D,Central,637.0,74.0,3
2023-12-30,Product E,West,551.0,108.0,3
2022-12-08,Product E,South,649.0,74.0,2
2023-02-01,Product C,North,65.0,11.0,6
2023-11-30,Product C,South,813.0,,2
2022-01-19,Product B,North,479.0,54.0,8
2022-06-26,Product B,South,,113.0,8
2023-09-04,Product E,North,344.0,42.0,5
2023-01-31,Product C,North,591.0,154.0,7
2023-03-21,Product A,South,341.0,98.0,4
2022-08-21,Product D,South,406.0,46.0,1
2022-03-17,,North,787.0,229.0,2
2022-09-22,Product C,Central,471.0,96.0,4
2023-03-31,,South,532.0,85.0,1
2023-12-19,Product D,East,630.0,72.0,8
2023-01-19,Product E,West,574.0,114.0,9
2023-07-18,Product C,North,522.0,135.0,4
2023-05-21,Product E,North,554.0,133.0,3
2023-01-02,Product C,,860.0,94.0,2
2022-05-24,Product E,,491.0,56.0,5
2022-03-10,Product D,West,530.0,95.0,3
2022-04-09,Product B,South,657.0,104.0,7
2023-01-31,Product D,West,665.0,97.0,6
2022-01-25,Product A,North,678.0,105.0,1
2023-04-14,Product B,West,595.0,155.0,8
2023-04-29,Product D,East,328.0,93.0,2
2023-07-19,Product A,South,745.0,134.0,5
2022-05-31,Product C,West,328.0,92.0,9
2022-05-24,Product C,North,545.0,89.0,8
2023-07-23,Product E,South,386.0,75.0,2
2022-02-08,Product B,North,490.0,71.0,9
2022-04-19,Product C,Central,549.0,125.0,5
2023-11-24,Product B,East,548.0,162.0,6
2022-02-11,Product C,Central,563.0,124.0,3
2022-07-05,Product E,East,742.0,127.0,3
2023-02-02,Product D,West,568.0,130.0,8
2022-08-11,Product E,South,463.0,57.0,2
2023-09-26,Product A,West,644.0,178.0,2
2022-05-13,Product C,East,678.0,136.0,5
2022-06-12,Product A,East,315.0,59.0,6
2022-08-03,,East,589.0,127.0,2
2022-08-23,Product B,,605.0,136.0,5
2023-10-20,Product C,South,455.0,52.0,7
2023-08-11,Product A,West,706.0,166.0,8
2022-01-09,Product D,West,477.0,70.0,7
2022-03-15,Product A,Central,,125.0,8
2023-05-07,Product D,East,474.0,125.0,9
2022-09-10,Product B,East,502.0,130.0,5
2022-08-18,Product A,East,335.0,70.0,5
2023-06-03,Product E,West,283.0,57.0,4
2022-06-23,Product B,Central,739.0,95.0,9
2023-10-15,Product D,North,372.0,94.0,5
2022-06-17,Product B,South,351.0,54.0,2
2022-06-19,Product A,North,176.0,35.0,8
2023-01-28,Product C,West,404.0,63.0,7
2023-09-26,Product C,East,301.0,38.0,8
2022-07-13,Product D,South,746.0,168.0,3
2023-06-01,Product D,West,651.0,72.0,4
2022-01-29,Product C,West,396.0,98.0,5
2022-06-14,Product D,West,837.0,136.0,6
2023-02-26,Product B,South,647.0,64.0,1
2022-12-05,Product E,South,451.0,91.0,4
